======================================================================
  BMEN-499 AlphaFold -- Performance Drop Analysis: LLM Judge 1
  Model   : BiomedBERT + Calibrated Symbolic Rules (LLM Judge 1)
  Metric  : Multi-metric Performance Drop Analysis
  Dataset : 13,396 DisProt proteins
  Questions evaluated: 100
======================================================================

WHAT IS PERFORMANCE DROP ANALYSIS?
----------------------------------------------------------------------
  Performance drop analysis identifies WHERE and WHY the model
  degrades compared to the best-performing questions.

  Combined performance score uses four metrics:
    NAUR F1      (weight=35%) -- chunked text overlap
    Agreement    (weight=35%) -- factual concept alignment
    Cosine sim   (weight=30%) -- semantic vector similarity
    Error penalty (-0.05 each error, capped at -0.50)

  Drop = best_score - current_score
  Drop labels:
    NO DROP          : drop = 0.0  (this is the best question)
    MINOR DROP       : drop < 0.10
    MODERATE DROP    : drop < 0.25
    SIGNIFICANT DROP : drop < 0.50
    SEVERE DROP      : drop >= 0.50

OVERALL PERFORMANCE SUMMARY
----------------------------------------------------------------------
  Best performance score  : 1.0000  (Q10 -- General)
  Worst performance score : 0.0000  (Q29 -- General)
  Mean performance score  : 0.8717
  Std deviation           : 0.2242  (inconsistent)
  Mean drop from best     : 0.1283

  Mean NAUR F1            : 0.8444
  Mean cosine similarity  : 0.9076
  Mean agreement score    : 0.9133
  Mean error count        : 0.32

  Drop severity breakdown:
    NO DROP          :  71 questions
    MINOR DROP       :   0 questions
    MODERATE DROP    :   1 questions
    SIGNIFICANT DROP :  25 questions
    SEVERE DROP      :   3 questions

  PERFORMANCE RANKING (best to worst):
    Rank  Q#    Score    Drop     Topic                     Label
    ----- ----- -------- -------- ------------------------- --------------------
    1     Q10   1.0000   0.0000   General                   NO DROP
    2     Q12   1.0000   0.0000   General                   NO DROP
    3     Q14   1.0000   0.0000   General                   NO DROP
    4     Q15   1.0000   0.0000   General                   NO DROP
    5     Q17   1.0000   0.0000   General                   NO DROP
    6     Q19   1.0000   0.0000   General                   NO DROP
    7     Q20   1.0000   0.0000   General                   NO DROP
    8     Q21   1.0000   0.0000   General                   NO DROP
    9     Q23   1.0000   0.0000   General                   NO DROP
    10    Q24   1.0000   0.0000   General                   NO DROP
    11    Q25   1.0000   0.0000   General                   NO DROP
    12    Q26   1.0000   0.0000   General                   NO DROP
    13    Q27   1.0000   0.0000   General                   NO DROP
    14    Q28   1.0000   0.0000   General                   NO DROP
    15    Q30   1.0000   0.0000   General                   NO DROP
    16    Q31   1.0000   0.0000   General                   NO DROP
    17    Q32   1.0000   0.0000   General                   NO DROP
    18    Q33   1.0000   0.0000   General                   NO DROP
    19    Q34   1.0000   0.0000   General                   NO DROP
    20    Q36   1.0000   0.0000   General                   NO DROP
    21    Q37   1.0000   0.0000   General                   NO DROP
    22    Q38   1.0000   0.0000   General                   NO DROP
    23    Q39   1.0000   0.0000   General                   NO DROP
    24    Q40   1.0000   0.0000   General                   NO DROP
    25    Q41   1.0000   0.0000   General                   NO DROP
    26    Q43   1.0000   0.0000   General                   NO DROP
    27    Q44   1.0000   0.0000   General                   NO DROP
    28    Q45   1.0000   0.0000   General                   NO DROP
    29    Q46   1.0000   0.0000   General                   NO DROP
    30    Q47   1.0000   0.0000   General                   NO DROP
    31    Q48   1.0000   0.0000   General                   NO DROP
    32    Q49   1.0000   0.0000   General                   NO DROP
    33    Q50   1.0000   0.0000   General                   NO DROP
    34    Q52   1.0000   0.0000   General                   NO DROP
    35    Q53   1.0000   0.0000   General                   NO DROP
    36    Q54   1.0000   0.0000   General                   NO DROP
    37    Q56   1.0000   0.0000   General                   NO DROP
    38    Q58   1.0000   0.0000   General                   NO DROP
    39    Q59   1.0000   0.0000   General                   NO DROP
    40    Q64   1.0000   0.0000   General                   NO DROP
    41    Q65   1.0000   0.0000   General                   NO DROP
    42    Q66   1.0000   0.0000   General                   NO DROP
    43    Q67   1.0000   0.0000   General                   NO DROP
    44    Q68   1.0000   0.0000   General                   NO DROP
    45    Q69   1.0000   0.0000   General                   NO DROP
    46    Q70   1.0000   0.0000   General                   NO DROP
    47    Q71   1.0000   0.0000   General                   NO DROP
    48    Q72   1.0000   0.0000   General                   NO DROP
    49    Q73   1.0000   0.0000   General                   NO DROP
    50    Q74   1.0000   0.0000   General                   NO DROP
    51    Q75   1.0000   0.0000   General                   NO DROP
    52    Q77   1.0000   0.0000   General                   NO DROP
    53    Q78   1.0000   0.0000   General                   NO DROP
