======================================================================
  BMEN-499 AlphaFold -- Performance Drop: LLM Judge 2 vs Ground Truth
  Model   : Vanilla RAG -- BiomedBERT Retriever (LLM Judge 2)
  Metric  : Multi-metric Performance Drop Analysis
  Dataset : 13,396 DisProt proteins
  Questions evaluated: 100
======================================================================

WHAT IS LLM JUDGE 2 (VANILLA RAG)?
----------------------------------------------------------------------
  BiomedBERT retrieves top-k DisProt passages and concatenates
  them as the answer. No symbolic rules, no calibration.
  Performance drops reveal where pure retrieval struggles most.

PERFORMANCE SCORE FORMULA
----------------------------------------------------------------------
  Score = 0.35*NAUR_F1 + 0.30*Cosine + 0.35*Agreement - penalty
  Penalty = 0.05 per error (capped at 0.50)
  Drop = best_score - current_score
  Labels: NO DROP | MINOR (<0.10) | MODERATE (<0.25) |
          SIGNIFICANT (<0.50) | SEVERE (>=0.50)

OVERALL PERFORMANCE SUMMARY
----------------------------------------------------------------------
  Best score    : 1.0000  (Q10 -- General)
  Worst score   : 0.2878  (Q2 -- Short IDR Detection)
  Mean score    : 0.8407
  Std deviation : 0.2722  (inconsistent)
  Mean drop     : 0.1593
  Mean NAUR F1  : 0.8272
  Mean cosine   : 0.8790
  Mean agreement: 0.8828
  Mean errors   : 0.43

  Drop severity:
    NO DROP          :  74 questions
    MINOR DROP       :   0 questions
    MODERATE DROP    :   0 questions
    SIGNIFICANT DROP :   4 questions
    SEVERE DROP      :  22 questions

  PERFORMANCE RANKING (best to worst):
    Rank  Q#    Score    Drop     Topic                     Label
    ----- ----- -------- -------- ------------------------- --------------------
    1     Q10   1.0000   0.0000   General                   NO DROP
    2     Q12   1.0000   0.0000   General                   NO DROP
    3     Q14   1.0000   0.0000   General                   NO DROP
    4     Q15   1.0000   0.0000   General                   NO DROP
    5     Q17   1.0000   0.0000   General                   NO DROP
    6     Q19   1.0000   0.0000   General                   NO DROP
    7     Q20   1.0000   0.0000   General                   NO DROP
    8     Q21   1.0000   0.0000   General                   NO DROP
    9     Q23   1.0000   0.0000   General                   NO DROP
    10    Q24   1.0000   0.0000   General                   NO DROP
    11    Q25   1.0000   0.0000   General                   NO DROP
    12    Q26   1.0000   0.0000   General                   NO DROP
    13    Q27   1.0000   0.0000   General                   NO DROP
    14    Q28   1.0000   0.0000   General                   NO DROP
    15    Q29   1.0000   0.0000   General                   NO DROP
    16    Q30   1.0000   0.0000   General                   NO DROP
    17    Q31   1.0000   0.0000   General                   NO DROP
    18    Q32   1.0000   0.0000   General                   NO DROP
    19    Q33   1.0000   0.0000   General                   NO DROP
    20    Q34   1.0000   0.0000   General                   NO DROP
    21    Q36   1.0000   0.0000   General                   NO DROP
    22    Q37   1.0000   0.0000   General                   NO DROP
    23    Q38   1.0000   0.0000   General                   NO DROP
    24    Q39   1.0000   0.0000   General                   NO DROP
    25    Q40   1.0000   0.0000   General                   NO DROP
    26    Q41   1.0000   0.0000   General                   NO DROP
    27    Q43   1.0000   0.0000   General                   NO DROP
    28    Q44   1.0000   0.0000   General                   NO DROP
    29    Q45   1.0000   0.0000   General                   NO DROP
    30    Q46   1.0000   0.0000   General                   NO DROP
    31    Q47   1.0000   0.0000   General                   NO DROP
    32    Q48   1.0000   0.0000   General                   NO DROP
    33    Q49   1.0000   0.0000   General                   NO DROP
    34    Q50   1.0000   0.0000   General                   NO DROP
    35    Q52   1.0000   0.0000   General                   NO DROP
    36    Q53   1.0000   0.0000   General                   NO DROP
    37    Q54   1.0000   0.0000   General                   NO DROP
    38    Q56   1.0000   0.0000   General                   NO DROP
    39    Q58   1.0000   0.0000   General                   NO DROP
    40    Q59   1.0000   0.0000   General                   NO DROP
    41    Q64   1.0000   0.0000   General                   NO DROP
    42    Q65   1.0000   0.0000   General                   NO DROP
    43    Q66   1.0000   0.0000   General                   NO DROP
    44    Q67   1.0000   0.0000   General                   NO DROP
    45    Q68   1.0000   0.0000   General                   NO DROP
    46    Q69   1.0000   0.0000   General                   NO DROP
    47    Q70   1.0000   0.0000   General                   NO DROP
    48    Q71   1.0000   0.0000   General                   NO DROP
    49    Q72   1.0000   0.0000   General                   NO DROP
    50    Q73   1.0000   0.0000   General                   NO DROP
    51    Q74   1.0000   0.0000   General                   NO DROP
    52    Q75   1.0000   0.0000   General                   NO DROP
    53    Q76   1.0000   0.0000   General                   NO DROP
    54    Q77   1.0000   0.0000   General                   NO DROP
